page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    1376  2166  rgb     3   8  jpeg   no         4  0   300   300  680K 7.8%
   2     1 image    2751  2163  rgb     3   8  jpeg   no         7  0   300   300 1093K 6.3%
   3     2 image    2751  2163  rgb     3   8  jpeg   no        10  0   300   300 1333K 7.6%
   4     3 image    2787  2163  rgb     3   8  jpeg   no        13  0   300   300 1163K 6.6%
   5     4 image    2787  2154  rgb     3   8  jpeg   no        16  0   300   300 1316K 7.5%
   6     5 image    2787  2163  rgb     3   8  jpeg   no        19  0   300   300 1545K 8.7%
   7     6 image    2787  2163  rgb     3   8  jpeg   no        22  0   300   300 1219K 6.9%
   8     7 image    2787  2163  rgb     3   8  jpeg   no        25  0   300   300 1077K 6.1%
   9     8 image    2787  2163  rgb     3   8  jpeg   no        28  0   300   300 1492K 8.4%
  10     9 image    2787  2127  rgb     3   8  jpeg   no        31  0   300   300 1417K 8.2%
  11    10 image    2787  2136  rgb     3   8  jpeg   no        34  0   300   300 1547K 8.9%
  12    11 image    2787  2123  rgb     3   8  jpeg   no        37  0   300   300 1469K 8.5%
  13    12 image    2787  2093  rgb     3   8  jpeg   no        40  0   300   300 1482K 8.7%
  14    13 image    2787  2106  rgb     3   8  jpeg   no        43  0   300   300 1398K 8.1%
  15    14 image    2787  2084  rgb     3   8  jpeg   no        46  0   300   300 1491K 8.8%
  16    15 image    2787  2084  rgb     3   8  jpeg   no        49  0   300   300 1426K 8.4%
  17    16 image    2787  2101  rgb     3   8  jpeg   no        52  0   300   300 1531K 8.9%
  18    17 image    2787  2097  rgb     3   8  jpeg   no        55  0   300   300 1352K 7.9%
  19    18 image    2787  2088  rgb     3   8  jpeg   no        58  0   300   300 1460K 8.6%
  20    19 image    2787  2097  rgb     3   8  jpeg   no        61  0   300   300 1375K 8.0%
  21    20 image    2800  2084  rgb     3   8  jpeg   no        64  0   300   300 1406K 8.2%
  22    21 image    2818  2088  rgb     3   8  jpeg   no        67  0   300   300 1391K 8.1%
  23    22 image    2787  2084  rgb     3   8  jpeg   no        70  0   300   300 1379K 8.1%
  24    23 image    2787  2084  rgb     3   8  jpeg   no        73  0   300   300 1451K 8.5%
